player_id,year,matches_played,runs,highest_score,bat_avg,centuries,wickets,best_bowling_innings,bowl_avg,five_wicket_hauls,catches,stumps,ave_diff,match_format,id
39836,2005,26,520.0,88,26.0,0.0,28.0,4/29,34.32,0.0,3.0,0.0,-8.32,ODI,60
39836,2006,23,455.0,75*,37.91,0.0,20.0,4/50,41.3,0.0,0.0,0.0,-3.38,ODI,61
39836,2007,7,62.0,27,12.4,0.0,3.0,2/59,59.0,0.0,2.0,0.0,-46.59,ODI,62
39836,2009,6,125.0,35,20.83,0.0,8.0,2/33,30.87,0.0,2.0,0.0,-10.04,ODI,63
39836,2010,11,331.0,109*,55.16,1.0,5.0,2/38,66.0,0.0,0.0,0.0,-10.83,ODI,64
39836,2011,17,159.0,62,15.9,0.0,10.0,2/8,32.9,0.0,2.0,0.0,-16.99,ODI,65
39836,2006,1,17.0,17*,,0.0,3.0,3/30,10.0,0.0,0.0,0.0,,T20I,66
39836,2007,1,10.0,10,10.0,0.0,0.0,,,0.0,0.0,0.0,,T20I,67
39836,2009,7,83.0,26*,41.5,0.0,7.0,3/20,11.85,0.0,2.0,0.0,29.64,T20I,68
557295,2017,2,2.0,1,1.0,0.0,,,,,1.0,0.0,,ODI,13079
39836,2010,17,236.0,46*,19.66,0.0,8.0,3/13,27.37,0.0,0.0,0.0,-7.7,T20I,69
39836,2012,4,37.0,22,18.5,0.0,2.0,2/9,10.5,0.0,0.0,0.0,8.0,T20I,70
39836,2013,2,10.0,10,5.0,0.0,0.0,,,0.0,0.0,0.0,,T20I,71
553249,2020,1,,,,,,,,,,,,ODI,3955
25580,2004,1,1.0,1,1.0,0.0,,,,,0.0,0.0,,ODI,72
1431566,2024,4,,,,,4.0,2/4,3.25,0.0,1.0,0.0,,T20I,73
585100,2015,2,44.0,24,22.0,0.0,,,,,2.0,0.0,,ODI,74
585100,2018,1,10.0,10,10.0,0.0,,,,,2.0,1.0,,ODI,75
585100,2015,4,28.0,20*,14.0,0.0,,,,,0.0,0.0,,T20I,76
585100,2019,2,7.0,7*,,0.0,,,,,0.0,1.0,,T20I,77
1198937,2019,2,0.0,0,0.0,0.0,,,,,1.0,2.0,,T20I,78
